server id;request type;request time;read request;response time
2100;searchProduct;75595.488391;75595.488391;75596.188391
2100;addToCart;75657.348300;75657.348300;75657.748300
2100;searchProduct;75848.804625;75848.804625;75849.504625
2100;searchProduct;75864.824068;75864.824068;75865.524068
2100;searchProduct;75878.192183;75878.192183;75878.892183
2100;searchProduct;75878.604002;75878.604002;75879.592183
2100;searchProduct;76222.635502;76222.635502;76223.335502
2100;searchProduct;76552.560766;76552.560766;76553.260766
2100;addToCart;76821.083735;76821.083735;76821.483735
2100;searchProduct;77091.822721;77091.822721;77092.522721
2000;changeStatusDelivery;77107.679750;77107.679750;77108.079750
2100;searchProduct;77720.604268;77720.604268;77721.304268
2100;searchProduct;78038.936466;78038.936466;78039.636466
2000;changeStatusDelivery;78110.792379;78110.792379;78111.192379
2100;addToCart;78215.050612;78215.050612;78215.450612
2100;searchProduct;78704.465659;78704.465659;78705.165659
2100;searchProduct;78979.172773;78979.172773;78979.872773
2200;viewStatistics;79267.798588;79267.798588;79268.598588
2100;searchProduct;79329.937509;79329.937509;79330.637509
2100;searchProduct;80142.989936;80142.989936;80143.689936
2000;changeStatusDelivery;80523.325584;80523.325584;80523.725584
2100;searchProduct;80775.788430;80775.788430;80776.488430
2100;searchProduct;80776.845391;80776.845391;80777.545391
2100;searchProduct;80815.829232;80815.829232;80816.529232
2100;searchProduct;80831.830070;80831.830070;80832.530070
2100;searchProduct;80961.091936;80961.091936;80961.791936
2100;addToCart;81095.416218;81095.416218;81095.816218
2100;searchProduct;81107.226176;81107.226176;81107.926176
2100;searchProduct;81570.432223;81570.432223;81571.132223
2100;searchProduct;81657.527520;81657.527520;81658.227520
2200;viewStatistics;82025.763024;82025.763024;82026.563024
2100;searchProduct;82051.117444;82051.117444;82051.817444
2100;searchProduct;82167.772247;82167.772247;82168.472247
2100;searchProduct;82257.471206;82257.471206;82258.171206
2100;searchProduct;82456.104926;82456.104926;82456.804926
2100;addToCart;82570.496742;82570.496742;82570.896742
2100;addToCart;82959.872932;82959.872932;82960.272932
2100;searchProduct;83073.713540;83073.713540;83074.413540
2000;viewAvailableShippings;83249.187628;83249.187628;83249.787628
2100;searchProduct;83333.841546;83333.841546;83334.541546
2100;createOrder;83517.627983;83517.627983;83518.127983
2100;searchProduct;83575.723514;83575.723514;83576.423514
2100;searchProduct;83776.182852;83776.182852;83776.882852
2100;searchProduct;84039.101981;84039.101981;84039.801981
2000;takeInChargeShipping;84447.426054;84447.426054;84447.826054
2200;viewStatistics;84629.016164;84629.016164;84629.816164
2100;searchProduct;84738.761033;84738.761033;84739.461033
2100;searchProduct;84832.475034;84832.475034;84833.175034
2100;searchProduct;85282.617675;85282.617675;85283.317675
2100;addToCart;85534.812205;85534.812205;85535.212205
2100;searchProduct;85610.717928;85610.717928;85611.417928
2100;addToCart;86020.030997;86020.030997;86020.430997
2100;searchProduct;86156.206006;86156.206006;86156.906006
2200;viewStatistics;86198.383984;86198.383984;86199.183984
2200;viewStatistics;86361.138128;86361.138128;86361.938128
2200;viewStatistics;86385.290724;86385.290724;86386.090724
2100;searchProduct;86848.615523;86848.615523;86849.315523
2100;searchProduct;87206.680933;87206.680933;87207.380933
2100;searchProduct;87630.230873;87630.230873;87631.030873
2100;searchProduct;88021.208064;88021.208064;88021.908064
2100;searchProduct;88024.280038;88024.280038;88024.980038
2100;addToCart;88057.416422;88057.416422;88057.816422
2100;searchProduct;88100.616274;88100.616274;88101.316274
2100;searchProduct;88199.538958;88199.538958;88200.238958
2100;searchProduct;89114.705531;89114.705531;89115.405531
2100;searchProduct;89504.840108;89504.840108;89505.540108
2100;searchProduct;89617.285295;89617.285295;89617.985295
2100;addToCart;89777.344106;89777.344106;89777.744106
2100;searchProduct;89862.356741;89862.356741;89863.056741
2100;searchProduct;90706.949542;90706.949542;90707.649542
2100;searchProduct;90755.118241;90755.118241;90755.818241
2100;searchProduct;90948.499995;90948.499995;90949.199995
2100;searchProduct;91173.646983;91173.646983;91174.346983
2100;searchProduct;91184.199400;91184.199400;91184.899400
2100;searchProduct;91250.902521;91250.902521;91251.602521
2100;searchProduct;91562.987922;91562.987922;91563.687922
2100;searchProduct;91583.864860;91583.864860;91584.564860
2100;addToCart;91608.724555;91608.724555;91609.124555
2100;addToCart;91639.903170;91639.903170;91640.303170
2100;searchProduct;91670.609156;91670.609156;91671.309156
2100;addToCart;91763.517590;91763.517590;91763.917590
2100;searchProduct;92003.078455;92003.078455;92003.778455
2100;searchProduct;92267.239264;92267.239264;92267.939264
2000;changeStatusDelivery;92441.143233;92441.143233;92441.543233
2100;searchProduct;92502.920865;92502.920865;92503.620865
2100;addToCart;92599.930783;92599.930783;92600.330783
2100;searchProduct;92718.457685;92718.457685;92719.157685
2100;searchProduct;92912.448261;92912.448261;92913.148261
2100;searchProduct;93043.728801;93043.728801;93044.428801
2000;changeStatusDelivery;93048.081850;93048.081850;93048.481850
2100;searchProduct;93329.052811;93329.052811;93329.752811
2000;changeStatusDelivery;93438.360335;93438.360335;93438.760335
2100;searchProduct;93600.626610;93600.626610;93601.326610
2100;searchProduct;93605.068373;93605.068373;93605.768373
2100;addToCart;94112.949238;94112.949238;94113.349238
2100;searchProduct;94157.104630;94157.104630;94157.804630
2100;searchProduct;94345.852581;94345.852581;94346.552581
2100;addToCart;94424.312484;94424.312484;94424.712484
2100;searchProduct;94671.223821;94671.223821;94671.923821
2100;searchProduct;95132.158202;95132.158202;95132.858202
2100;searchProduct;95766.250429;95766.250429;95766.950429
2100;addToCart;95830.820994;95830.820994;95831.220994
2100;addToCart;96335.114313;96335.114313;96335.514313
2100;searchProduct;96450.167158;96450.167158;96450.867158
2100;searchProduct;96596.502753;96596.502753;96597.202753
2100;searchProduct;96606.529039;96606.529039;96607.229039
2100;searchProduct;96804.366884;96804.366884;96805.066884
2100;searchProduct;97071.812776;97071.812776;97072.512776
2100;searchProduct;97276.408918;97276.408918;97277.108918
2100;addToCart;97326.862854;97326.862854;97327.262854
2100;searchProduct;97373.967096;97373.967096;97374.667096
2100;searchProduct;97512.062616;97512.062616;97512.762616
2100;searchProduct;97691.558755;97691.558755;97692.258755
2100;searchProduct;97742.966748;97742.966748;97743.666748
2100;searchProduct;97875.921141;97875.921141;97876.621141
2100;searchProduct;97891.308012;97891.308012;97892.008012
2100;searchProduct;97951.649087;97951.649087;97952.349087
2100;searchProduct;98057.754832;98057.754832;98058.454832
2100;searchProduct;98691.495461;98691.495461;98692.195461
2200;addProduct;99013.058809;99013.058809;99013.558809
2100;searchProduct;99525.044836;99525.044836;99525.744836
2100;addToCart;100220.312448;100220.312448;100220.712448
2100;searchProduct;100246.121872;100246.121872;100246.821872
2100;searchProduct;100493.097469;100493.097469;100493.797469
2100;searchProduct;100796.446113;100796.446113;100797.146113
2100;searchProduct;100812.865479;100812.865479;100813.565479
2100;addToCart;101096.381182;101096.381182;101096.781182
2200;viewStatistics;101098.558384;101098.558384;101099.358384
2100;searchProduct;101377.022203;101377.022203;101377.722203
2100;searchProduct;101500.307015;101500.307015;101501.007015
2100;searchProduct;101538.812039;101538.812039;101539.512039
2100;searchProduct;101545.848715;101545.848715;101546.548715
2100;searchProduct;101568.266078;101568.266078;101568.966078
2100;addToCart;101599.594099;101599.594099;101599.994099
2100;searchProduct;101652.619200;101652.619200;101653.319200
2100;searchProduct;101672.335923;101672.335923;101673.035923
2100;searchProduct;101830.097749;101830.097749;101830.797749
2100;addToCart;101897.855762;101897.855762;101898.255762
2100;searchProduct;101936.621448;101936.621448;101937.321448
2100;addToCart;101990.773933;101990.773933;101991.173933
2100;searchProduct;102061.259346;102061.259346;102061.959346
2100;searchProduct;102408.237183;102408.237183;102408.937183
2100;createOrder;102462.989935;102462.989935;102463.489935
2100;searchProduct;102506.950196;102506.950196;102507.750196
2100;searchProduct;102535.943380;102535.943380;102536.643380
2100;searchProduct;102751.468139;102751.468139;102752.168139
2100;searchProduct;102964.139069;102964.139069;102964.839069
2100;searchProduct;103645.292362;103645.292362;103645.992362
2100;searchProduct;104186.667778;104186.667778;104187.367778
2100;searchProduct;104298.287841;104298.287841;104298.987841
2100;searchProduct;104334.703409;104334.703409;104335.403409
2100;addToCart;104412.134753;104412.134753;104412.534753
2100;searchProduct;104474.709313;104474.709313;104475.409313
2100;addToCart;104519.881735;104519.881735;104520.281735
2100;searchProduct;104531.093999;104531.093999;104531.793999
2100;searchProduct;104695.363708;104695.363708;104696.063708
2100;searchProduct;104739.596168;104739.596168;104740.296168
2100;searchProduct;104762.511897;104762.511897;104763.211897
2100;createOrder;104839.588454;104839.588454;104840.088454
2100;viewOrder;104842.918049;104842.918049;104843.318049
2100;addToCart;105417.832673;105417.832673;105418.232673
2100;searchProduct;105559.075584;105559.075584;105559.775584
2100;searchProduct;105585.878175;105585.878175;105586.578175
2100;addToCart;105737.618723;105737.618723;105738.018723
2100;addToCart;105846.451061;105846.451061;105846.851061
2100;searchProduct;106168.142334;106168.142334;106168.842334
2100;addToCart;106229.304108;106229.304108;106229.704108
2100;searchProduct;106584.601240;106584.601240;106585.301240
2100;searchProduct;106893.167082;106893.167082;106893.867082
2100;createOrder;107030.425057;107030.425057;107030.925057
2100;createOrder;107186.178599;107186.178599;107186.678599
2100;viewOrder;107214.340045;107214.340045;107214.740045
2100;searchProduct;107280.875143;107280.875143;107281.575143
2100;addToCart;107352.637516;107352.637516;107353.037516
2100;searchProduct;107380.950839;107380.950839;107381.650839
2100;searchProduct;107508.791757;107508.791757;107509.491757
2100;searchProduct;107627.395727;107627.395727;107628.095727
2100;searchProduct;107640.889817;107640.889817;107641.589817
2100;addToCart;107922.647188;107922.647188;107923.047188
2100;addToCart;107958.833296;107958.833296;107959.233296
2100;searchProduct;108063.237307;108063.237307;108063.937307
2100;searchProduct;108336.672245;108336.672245;108337.372245
2100;searchProduct;108378.554740;108378.554740;108379.254740
2100;searchProduct;108434.228839;108434.228839;108434.928839
2100;searchProduct;108779.713201;108779.713201;108780.413201
2100;addToCart;108963.025837;108963.025837;108963.425837
2100;searchProduct;109163.046640;109163.046640;109163.746640
2100;searchProduct;109208.782569;109208.782569;109209.482569
2100;searchProduct;109461.532371;109461.532371;109462.232371
2100;searchProduct;109793.036859;109793.036859;109793.736859
2100;searchProduct;109838.492192;109838.492192;109839.192192
2100;addToCart;110100.265822;110100.265822;110100.665822
2100;searchProduct;110175.513637;110175.513637;110176.213637
2100;addToCart;110412.697935;110412.697935;110413.097935
2100;searchProduct;110439.543174;110439.543174;110440.243174
2100;searchProduct;110701.859725;110701.859725;110702.559725
2100;addToCart;110754.655990;110754.655990;110755.055990
2100;searchProduct;110866.670855;110866.670855;110867.370855
2100;searchProduct;111123.456000;111123.456000;111124.156000
2100;searchProduct;111148.890993;111148.890993;111149.590993
2100;searchProduct;111341.088303;111341.088303;111341.788303
2100;searchProduct;111420.053608;111420.053608;111420.753608
2100;searchProduct;111462.399957;111462.399957;111463.099957
2100;searchProduct;111523.198634;111523.198634;111523.898634
2100;addToCart;111590.999275;111590.999275;111591.399275
2100;searchProduct;111698.461490;111698.461490;111699.161490
2000;changeStatusDelivery;112120.919207;112120.919207;112121.319207
2100;searchProduct;112134.903759;112134.903759;112135.603759
2100;addToCart;112228.204853;112228.204853;112228.604853
2100;searchProduct;112308.860933;112308.860933;112309.560933
